Name	Pfad	de	en	fr	it
title	/rdmo/catalog/title[4]	RDMO	RDMO	RDMO	RDMO
title	/rdmo/section[1]/title[4]	Allgemein	General	Général	Generale
help	/rdmo/questionset[1]/help[4]				
title	/rdmo/questionset[1]/title[4]	Thema	Topic	Sujet	Argomento
verbose_name	/rdmo/questionset[1]/verbose_name[4]				
verbose_name_plural	/rdmo/questionset[1]/verbose_name_plural[4]				
help	/rdmo/question[1]/help[4]	Bitte beschreiben Sie kurz das Projekt und dessen Ziele.	Describe briefly the project and its aims.	Veuilliez décrire brièvement le projet et ses buts.	Descrivete brevemente il progetto e i suoi obiettivi.
text	/rdmo/question[1]/text[4]	Wie lautet die primäre Forschungsfrage des Projektes?	What is the main research question of the project?	Quelle est la principale thématique de recherche du projet?	
verbose_name	/rdmo/question[1]/verbose_name[4]				
verbose_name_plural	/rdmo/question[1]/verbose_name_plural[4]				
help	/rdmo/question[2]/help[4]				
text	/rdmo/question[2]/text[4]	Bitte geben Sie einige Schlagworte zur Forschungsfrage an.	Please give some keywords describing the research question.	Veuillez donner quelques mots clés décrivant la question de recherche.	
verbose_name	/rdmo/question[2]/verbose_name[4]	Schlagwort	keyword	mot-clé	parola chiave
verbose_name_plural	/rdmo/question[2]/verbose_name_plural[4]	Schlagwörter	keywords	mots clés	parole chiave
help	/rdmo/questionset[2]/help[4]				
title	/rdmo/questionset[2]/title[4]	Disziplin	Research field	Domaine de recherche	Campo di ricerca
verbose_name	/rdmo/questionset[2]/verbose_name[4]				
verbose_name_plural	/rdmo/questionset[2]/verbose_name_plural[4]				
help	/rdmo/question[3]/help[4]	"Die Liste der Disziplinen entspricht der <a href=""http://www.dfg.de/dfg_profil/gremien/fachkollegien/faecher/"" target=""_blank"">Fachsystematik der Deutschen Forschungsgemeinschaft (DFG)</a>."	"The list of disciplines follows the <a href=""http://www.dfg.de/en/dfg_profile/statutory_bodies/review_boards/subject_areas/index.jsp"" target=_blank"">subject classification of the DFG (German Research Foundation)</a>."	"La liste des disciplines suivants <a href=""http://www.dfg.de/en/dfg_profile/statutory_bodies/review_boards/subject_areas/index.jsp"" target=_blank""> est une classification par sujet du DFG (Fond allemand scientifique)</a>."	"La lista delle discipline <a href=""http://www.dfg.de/en/dfg_profile/statutory_bodies/review_boards/subject_areas/index.jsp"" target=_blank""> è tratta da una classificatione sistematica per campi di ricerca della DFG (Comunità tedesca della Ricerca)</a>"
text	/rdmo/question[3]/text[4]	Welcher Disziplin / welchen Disziplinen ist das Projekt zuzuordnen?	Which research field(s) does this project belong to?	À quel(s) domaine(s) de recherche ce projet appartient-il?	
verbose_name	/rdmo/question[3]/verbose_name[4]	Forschungsdisziplin	discipline	domaine	dominio
verbose_name_plural	/rdmo/question[3]/verbose_name_plural[4]	Forschungsdisziplinen	disciplines	domaines	domini
help	/rdmo/question[4]/help[4]				
text	/rdmo/question[4]/text[4]	Welche Personen oder Institutionen sind verantwortlich für die Projektkoordination?	Which persons or institutions are responsible for the project coordination?	Quelles personnes ou institutions sont responsables de la coordination du projet?	
verbose_name	/rdmo/question[4]/verbose_name[4]				
verbose_name_plural	/rdmo/question[4]/verbose_name_plural[4]				
help	/rdmo/questionset[3]/help[4]				
title	/rdmo/questionset[3]/title[4]	Projektablauf	Project schedule	Calendrier du projet	Tabella di marcia
verbose_name	/rdmo/questionset[3]/verbose_name[4]				
verbose_name_plural	/rdmo/questionset[3]/verbose_name_plural[4]				
help	/rdmo/question[5]/help[4]	Geben Sie das voraussichtliche Datum an, falls das Projekt noch nciht gestartet ist.	Provide the anticipated starting date, if the project did not started yet.		
text	/rdmo/question[5]/text[4]	Wann beginnt die Projektlaufzeit?	When does the project start?	Quand commence le projet?	Quando inizia il progetto?
verbose_name	/rdmo/question[5]/verbose_name[4]				
verbose_name_plural	/rdmo/question[5]/verbose_name_plural[4]				
help	/rdmo/question[6]/help[4]				
text	/rdmo/question[6]/text[4]	Wann endet die Projektlaufzeit?	When does the project end?	Quand se termine le projet?	Quando termina il progetto?
verbose_name	/rdmo/question[6]/verbose_name[4]				
verbose_name_plural	/rdmo/question[6]/verbose_name_plural[4]				
help	/rdmo/questionset[4]/help[4]				
title	/rdmo/questionset[4]/title[4]	Projektkoordination	Project coordination	Coordination du projet	Coordinazione del progetto
verbose_name	/rdmo/questionset[4]/verbose_name[4]				
verbose_name_plural	/rdmo/questionset[4]/verbose_name_plural[4]				
help	/rdmo/question[7]/help[4]				
text	/rdmo/question[7]/text[4]	Welche Personen oder Institutionen sind verantwortlich für die Projektkoordination?	Which persons or institutions are responsible for the project coordination?	Quelles personnes ou institutions sont responsables de la coordination du projet?	
verbose_name	/rdmo/question[7]/verbose_name[4]				
verbose_name_plural	/rdmo/question[7]/verbose_name_plural[4]				
help	/rdmo/questionset[5]/help[4]				
title	/rdmo/questionset[5]/title[4]	Projektpartner	Project partners	Partenaires du projet	Partner del progetto
verbose_name	/rdmo/questionset[5]/verbose_name[4]	Projektpartner	project partner	Partenaire du projet	Partner del progetto
verbose_name_plural	/rdmo/questionset[5]/verbose_name_plural[4]	Projektpartner	project partners	Partenaires du projet	Partner del progetto
help	/rdmo/question[8]/help[4]	Bitte geben Sie hier den ausführlichen Namen des Projektpartners an.	Please insert the name of project partner in detail.	Veuilleiez donner le nom complet du partenaire.	Si preda gi riportare il nome completo del partner.
text	/rdmo/question[8]/text[4]	Projektpartner	Project partner	Partenaire du projet	Partner del progetto
verbose_name	/rdmo/question[8]/verbose_name[4]				
verbose_name_plural	/rdmo/question[8]/verbose_name_plural[4]				
help	/rdmo/question[9]/help[4]	"Immer mehr Hochschulen und wissenschaftliche Einrichtungen verabschieden Leitlinien oder Richtlinien (oft auch als „Policies“ bezeichnet) zum Forschungsdatenmanagement. Diese enthalten unter anderem Empfehlungen und/oder Vorgaben zum
			Umgang mit Forschungsdaten, die die Wissenschaftlerinnen und Wissenschaftler der Einrichtung beachten sollten oder müssen (je nach Grad der Verbindlichkeit), zum Beispiel die <a
			href=""http://www.uni-goettingen.de/de/01-juli-2014-forschungsdaten-leitlinie-der-universitaet-goettingen-einschl-umg/488918.html"" target=""_blank"">Leitlinien zum Umgang mit Forschungsdaten</a> der Georg-August-Universität
			Göttingen.
		"	"More and more universities and scientific institutions adopt research data management policies. These contain, among other things, recommendations and / or demands concerning the handling of research data by researchers of the institution.
		"	De plus en plus d'universités et d'institutions scientifiques adoptent des politiques de gestion des données de recherche. Celles-ci contiennent, entre autres, des recommandations et / ou des exigenc	
text	/rdmo/question[9]/text[4]	"Gibt es an Ihrer Einrichtung Regeln oder Richtlinien zum Umgang mit den im Projekt erhobenen Forschungsdaten? Wenn ja, skizzieren Sie diese kurz und verweisen Sie ggf. auf weiterführende Informationen. Geben Sie bitte auch an, welchen
			Grad an Verbindlichkeit sie haben.
		"	"Does your institution have rules or guidelines for the handling of research data? If yes, please briefly outline them and refer to more detailed sources of information if necessary. Please also indicate, if the rules / guidelines are
			mandatory or optional."	"Votre établissement a-t-il des règles ou des directives pour le traitement des données de recherche? Si oui, veuillez les décrire brièvement et vous référer à des sources d'informations plus détaillées si nécessaire. Veuillez
			également indiquer si les règles / directives sont obligatoires ou facultatives.
		"	
verbose_name	/rdmo/question[9]/verbose_name[4]				
verbose_name_plural	/rdmo/question[9]/verbose_name_plural[4]				
