Name	Pfad	de	en	fr	it
title	/rdmo/catalog/title	RDMO	RDMO	RDMO	RDMO
title	/rdmo/section[1]/title	Allgemein	General	Général	Generale
help	/rdmo/questionset[1]/help				
title	/rdmo/questionset[1]/title	Thema	Topic	Sujet	Argomento
verbose_name	/rdmo/questionset[1]/verbose_name				
verbose_name_plural	/rdmo/questionset[1]/verbose_name_plural				
help	/rdmo/question[1]/help	Bitte beschreiben Sie kurz das Projekt und dessen Ziele.	Describe briefly the project and its aims.	Veuillez décrire brièvement le projet et ses buts.	Si prega di descrivere succintamente il progetto e i suoi obiettivi.
text	/rdmo/question[1]/text	Wie lautet die primäre Forschungsfrage des Projektes?	What is the main research question of the project?	Quelle est la principale thématique de recherche du projet ?	Qual è l’argomento principale della ricerca?
verbose_name	/rdmo/question[1]/verbose_name				
verbose_name_plural	/rdmo/question[1]/verbose_name_plural				
help	/rdmo/question[2]/help				
text	/rdmo/question[2]/text	Bitte geben Sie einige Schlagworte zur Forschungsfrage an.	Please give some keywords describing the research question.	Veuillez donner quelques mots clés décrivant la question de recherche.	Si prega di inserire alcune parole chiave per inquadrare l’argomento della ricerca.
verbose_name	/rdmo/question[2]/verbose_name	Schlagwort	keyword	mot-clé	parola chiave
verbose_name_plural	/rdmo/question[2]/verbose_name_plural	Schlagwörter	keywords	mots clés	parole chiave
help	/rdmo/questionset[2]/help				
title	/rdmo/questionset[2]/title	Disziplin	Research field	Domaine de recherche	Campo di ricerca
verbose_name	/rdmo/questionset[2]/verbose_name				
verbose_name_plural	/rdmo/questionset[2]/verbose_name_plural				
help	/rdmo/question[3]/help	"Die Liste der Disziplinen entspricht der <a href=""http://www.dfg.de/dfg_profil/gremien/fachkollegien/faecher/"" target=""_blank"">Fachsystematik der Deutschen Forschungsgemeinschaft (DFG)</a>."	"The list of disciplines follows the <a href=""http://www.dfg.de/en/dfg_profile/statutory_bodies/review_boards/subject_areas/index.jsp"" target=_blank"">subject classification of the DFG (German Research Foundation)</a>."	"La liste des disciplines suivantes <a href=""http://www.dfg.de/en/dfg_profile/statutory_bodies/review_boards/subject_areas/index.jsp"" target=_blank""> est une classification par sujet du DFG (Fond allemand scientifique)</a>."	"La lista delle discipline <a href=""http://www.dfg.de/en/dfg_profile/statutory_bodies/review_boards/subject_areas/index.jsp"" target=_blank""> è tratta da una classificatione sistematica per campi di ricerca della DFG (Comunità tedesca della Ricerca)</a>"
text	/rdmo/question[3]/text	Welcher Disziplin / welchen Disziplinen ist das Projekt zuzuordnen?	Which research field(s) does this project belong to?	À quel(s) domaine(s) de recherche ce projet appartient-il ?	In quale/i campo/i di ricerca si inserisce questo progetto?
verbose_name	/rdmo/question[3]/verbose_name	Forschungsdisziplin	discipline	domaine	dominio
verbose_name_plural	/rdmo/question[3]/verbose_name_plural	Forschungsdisziplinen	disciplines	domaines	domini
help	/rdmo/question[4]/help				
text	/rdmo/question[4]/text	Welche Personen oder Institutionen sind verantwortlich für die Projektkoordination?	Which persons or institutions are responsible for the project coordination?	Quelles personnes ou institutions sont responsables de la coordination du projet ?	Quali persone o istituzioni sono responsabili per la coordinazione del progetto?
verbose_name	/rdmo/question[4]/verbose_name				
verbose_name_plural	/rdmo/question[4]/verbose_name_plural				
help	/rdmo/questionset[3]/help				
title	/rdmo/questionset[3]/title	Projektablauf	Project schedule	Calendrier du projet	Tabella di marcia
verbose_name	/rdmo/questionset[3]/verbose_name				
verbose_name_plural	/rdmo/questionset[3]/verbose_name_plural				
help	/rdmo/question[5]/help	Geben Sie das voraussichtliche Datum an, falls das Projekt noch nicht gestartet ist.	Provide the anticipated starting date, if the project has not started yet.	Veuillez donner la date prévue de début, au cas où le projet n'ait pas encore commencé.	Inserire la data di inizio prevista, qualora il progetto non sia ancora iniziato.
text	/rdmo/question[5]/text	Wann beginnt die Projektlaufzeit?	When does the project start?	Quand commence le projet ?	Quando inizia il progetto?
verbose_name	/rdmo/question[5]/verbose_name				
verbose_name_plural	/rdmo/question[5]/verbose_name_plural				
help	/rdmo/question[6]/help				
text	/rdmo/question[6]/text	Wann endet die Projektlaufzeit?	When does the project end?	Quand se termine le projet ?	Quando termina il progetto?
verbose_name	/rdmo/question[6]/verbose_name				
verbose_name_plural	/rdmo/question[6]/verbose_name_plural				
help	/rdmo/questionset[4]/help				
title	/rdmo/questionset[4]/title	Projektkoordination	Project coordination	Coordination du projet	Coordinazione del progetto
verbose_name	/rdmo/questionset[4]/verbose_name				
verbose_name_plural	/rdmo/questionset[4]/verbose_name_plural				
help	/rdmo/question[7]/help				
text	/rdmo/question[7]/text	Welche Personen oder Institutionen sind verantwortlich für die Projektkoordination?	Which persons or institutions are responsible for the project coordination?	Quelles personnes ou institutions sont responsables de la coordination du projet ?	Chi sono le persone o istituzioni responsabili per la coordinazione del progetto?
verbose_name	/rdmo/question[7]/verbose_name				
verbose_name_plural	/rdmo/question[7]/verbose_name_plural				
help	/rdmo/questionset[5]/help				
title	/rdmo/questionset[5]/title	Projektpartner	Project partners	Partenaires du projet	Partner del progetto
verbose_name	/rdmo/questionset[5]/verbose_name	Projektpartner	project partner	Partenaire du projet	Partner del progetto
verbose_name_plural	/rdmo/questionset[5]/verbose_name_plural	Projektpartner	project partners	Partenaires du projet	Partner del progetto
help	/rdmo/question[8]/help	Bitte geben Sie hier den ausführlichen Namen des Projektpartners an.	Please insert the name of project partner in detail.	Veuillez donner le nom complet du partenaire.	Si prega di riportare il nome completo del partner.
text	/rdmo/question[8]/text	Projektpartner	Project partner	Partenaire du projet	Partner del progetto
verbose_name	/rdmo/question[8]/verbose_name				
verbose_name_plural	/rdmo/question[8]/verbose_name_plural				
